ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
62,Devil,Devil_(film),12289375,2809,9/17/10,78,0,19894,24,29,36,41402,32,37,49,54539,47,50,75,78073,63,66,97,136087,75,83,115,226797,103,115,149
63,Diary of a Wimpy Kid,Diary_of_a_Wimpy_Kid_(film),22126166,3077,3/19/10,153,0,93238,89,103,176,108089,120,127,210,131381,142,158,278,153676,167,183,316,187570,210,229,381,220873,246,267,431
64,Dinner for Schmucks,Dinner_for_Schmucks,23527839,2911,7/30/10,219,0,166107,53,60,79,181556,61,68,88,191010,68,73,94,200394,71,84,107,212734,81,91,114,253180,84,94,117
65,Douchebag,Douchebag_(film),2966,1,10/1/10,222,0,10545,9,9,12,11251,9,9,12,12324,11,10,13,13556,13,13,19,14813,13,13,19,15920,15,15,22
66,Down Terrace,Down_Terrace,3088,2,10/15/10,-190,1,198,0,0,0,198,0,0,0,202,0,0,0,206,0,0,0,217,0,0,0,288,0,0,0
67,Dreamkiller,Dreamkiller_(film),861,3,2/19/10,-127,1,0,0,0,0,4,0,0,0,11,0,0,0,14,0,0,0,18,0,0,0,18,0,0,0
68,Due Date,Due_Date,32689406,3355,11/5/10,460,0,434215,112,129,170,458856,110,132,173,489860,115,140,183,521248,119,143,187,555640,125,146,190,612706,128,152,196
69,Easy A,Easy_A,17734040,2856,9/17/10,444,0,336026,70,78,93,364045,76,83,100,428331,84,95,115,464507,95,101,126,523893,103,113,141,620602,125,130,165
70,Eat Pray Love,Eat_Pray_Love,23104523,3082,8/13/10,355,0,152530,45,49,61,155537,51,57,69,158576,54,60,73,161339,55,61,74,177507,57,65,80,204783,61,70,85
71,Edge of Darkness,Edge_of_Darkness_(2010_film),17214384,3066,1/29/10,526,0,303572,52,56,90,311936,60,57,93,321132,61,58,95,337247,62,59,97,372525,66,68,106,413520,74,75,113
72,Enter the Void,Enter_the_Void,43651,3,9/24/10,502,0,67811,17,23,32,71905,18,24,33,83857,19,27,44,93315,23,32,54,100747,23,35,60,108376,24,35,62
73,Everyone Else,Everyone_Else,10810,1,4/9/10,-268,0,342,0,0,0,351,0,0,0,370,0,0,0,384,0,0,0,391,0,0,0,399,0,0,0
74,Exit Through the Gift Shop,Exit_Through_the_Gift_Shop,170756,8,4/16/10,84,0,4958,6,10,19,7734,9,13,22,10853,10,14,23,14200,11,15,24,16679,12,16,26,19624,13,17,27
75,Extraordinary Measures,Extraordinary_Measures,6012594,2549,1/22/10,96,0,15516,13,14,27,21697,15,17,31,26745,18,18,32,35728,18,20,34,61452,22,24,38,107200,28,31,47
76,Fair Game,Fair_Game_(2010_film),651082,46,11/5/10,586,0,147354,39,43,67,155697,42,45,69,163970,42,47,71,172294,45,49,73,188077,45,50,74,201633,47,51,75
77,Faster,Faster_(2010_film),8523153,2454,11/24/10,284,0,193225,38,49,57,204199,38,49,57,222442,48,56,67,242858,49,59,70,268612,51,62,73,302358,52,64,75
78,Finding Bliss,Finding_Bliss,2115,1,6/4/10,443,0,24639,10,11,17,25882,10,11,17,27070,10,11,17,28165,10,11,17,29332,10,11,19,31499,10,11,19
79,Flipped,Flipped_(film),224233,45,8/6/10,251,0,13088,1,1,1,13715,1,1,1,14778,2,2,2,15945,2,2,2,16828,2,2,2,22531,9,10,14
80,For Colored Girls,For_Colored_Girls,19497324,2127,11/5/10,136,0,68589,28,27,37,87547,43,44,63,112195,53,57,78,132325,55,63,84,159030,64,72,95,197802,78,86,120
81,Formosa Betrayed,Formosa_Betrayed,77326,15,2/26/10,221,0,7041,16,19,40,7578,16,19,40,8089,16,19,40,9031,20,23,52,10339,20,23,52,11449,21,25,54
82,Four Lions,Four_Lions,41512,8,11/5/10,466,0,277344,97,131,176,304259,104,140,185,323828,106,142,187,342200,107,147,192,360442,107,148,193,379141,109,151,196
83,Freakonomics,Freakonomics_(film),31893,20,10/1/10,78,0,457,4,6,15,620,4,6,15,1187,5,7,16,2014,6,8,18,3687,7,9,19,5288,8,11,21
84,From Paris with Love,From_Paris_with_Love_(film),8158860,2722,2/5/10,457,0,144745,56,57,77,149947,58,59,79,156321,60,62,82,168159,60,62,82,193313,69,76,98,214957,82,80,106
85,Frozen,Frozen_(2010_American_film),131395,106,2/5/10,51,0,226,0,0,0,403,3,3,19,10532,10,12,30,23330,13,17,39,33493,18,24,48,41525,20,27,53
