ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
292,Valentine%27s Day,Valentine%27s_Day_(film),56260707,3665,2/12/10,195,0,891006,410,403,568,982468,456,444,630,1098563,501,497,702,1212594,509,505,711,1381111,519,517,725,1544824,519,525,739
293,Vampires Suck,Vampires_Suck,12202831,3233,8/18/10,73,0,5393,12,20,28,10583,23,36,45,17561,65,90,128,68867,191,237,353,115859,192,290,421,282908,300,409,578
294,Veer,Veer_(film),334562,92,1/22/10,332,0,80174,70,70,109,94374,98,98,148,106598,120,119,188,125697,154,145,236,144418,164,161,259,166779,180,181,287
295,Vincere,Vincere,18096,2,3/19/10,318,0,10319,12,15,23,10759,12,15,23,11328,12,15,23,11831,12,15,23,13558,14,18,26,15202,15,20,31
296,Waiting for Armageddon,Waiting_for_Armageddon,2579,1,1/8/10,-81,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,9,0,0,0,14,0,0,0
297,Waking Sleeping Beauty,Waking_Sleeping_Beauty,33115,5,3/26/10,76,0,3354,4,4,9,5407,8,8,13,7476,8,8,13,10611,11,12,19,14167,14,14,22,17682,14,15,23
298,Wall Street Money Never Sleeps,Wall_Street:_Money_Never_Sleeps,19011188,3565,9/24/10,511,0,836123,242,376,1085,873924,249,383,1093,909669,255,389,1103,955447,265,401,1117,1025132,274,410,1128,1137503,286,424,1145
299,Waste Land,Waste_Land_(film),9806,1,10/29/10,-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,We Are Family,We_Are_Family_(film),296907,78,9/3/10,207,0,67187,23,31,38,71056,29,38,62,79443,35,48,76,97638,46,63,111,116921,47,67,118,136392,60,82,143
301,Welcome to the Rileys,Welcome_to_the_Rileys,42145,10,10/29/10,744,0,361501,112,117,177,370350,112,117,177,376844,112,117,177,382880,112,117,177,389585,114,121,186,401141,111,124,190
302,What If...,What_If..._(film),49770,23,8/20/10,251,0,35089,13,16,26,39112,15,18,28,41688,15,18,28,47293,17,20,31,54924,21,22,36,63426,19,24,38
303,When in Rome,When_in_Rome_(2010_film),12350041,2456,1/29/10,645,0,283355,44,51,76,293153,44,51,76,304602,44,51,76,320215,44,51,76,343695,48,55,80,380227,56,59,84
304,When You%27re Strange,When_You%27re_Strange,66833,8,4/9/10,475,0,69171,30,30,47,73060,30,30,47,77976,31,32,51,87718,33,34,54,98832,34,35,55,108478,34,35,55
305,White Material,White_Material,34613,3,11/19/10,228,0,7739,11,12,16,8299,11,12,16,8857,11,12,16,9440,11,12,16,10228,11,12,16,10968,11,12,16
306,Wild Grass,Wild_Grass,39162,5,6/25/10,411,0,6915,5,7,14,7546,5,7,14,8203,5,7,14,8757,7,9,16,9251,7,10,17,9617,7,10,17
307,Winnebago Man,Winnebago_Man,16469,2,7/9/10,408,0,11433,23,23,48,13021,28,25,50,17683,31,32,59,23943,31,32,59,26022,35,34,61,28588,33,36,63
308,Winter%27s Bone,Winter%27s_Bone,84797,4,6/11/10,131,0,4697,6,6,11,5531,6,6,11,6450,7,7,12,8519,8,8,13,10199,8,8,13,11712,8,8,13
309,Yogi Bear,Yogi_Bear_(film),16411322,3515,12/17/10,778,0,388625,148,178,294,403277,164,188,308,419041,165,192,314,435142,180,201,324,467280,187,210,334,506586,189,234,369
310,You Again,You_Again,8407513,2548,9/24/10,176,0,55574,24,25,35,61457,23,26,36,67692,28,27,37,74968,28,31,42,90060,34,40,52,110302,40,44,56
311,You Will Meet a Tall Dark Stranger,You_Will_Meet_a_Tall_Dark_Stranger,160103,6,9/22/10,330,0,255934,48,55,84,269987,50,56,87,283789,59,60,92,297421,57,64,99,314658,58,67,102,329869,61,71,111
312,Zenith,Zenith_(film),2347,1,10/1/10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,4,5,7
